i,inital_effi,max_effi,max_case_index,diff,FLOW_COEFFICIENT,LOADING_COEFFICIENT,REACTION_DEGREE,EXPANTION_RATIO,W2_Re,AR_STATOR,AR_ROTOR,Zw,stator_bow,stator_tip_bow,stator_lean,stator_tip_lean,h_percent,rotor_lean,cluster
1,0.8815,0.8899,28,0.0084,0.9,3,0.55,1.7,200000,2.3,3,1.05,-11.21,1.66,-9.31,5.69,0.29,19.48,1
2,0.9018,0.907,28,0.0052,1,2.7,0.55,1.7,250000,2.4,3.4,1.05,-11.21,1.66,-9.31,5.69,0.29,19.48,1
3,0.8773,0.8878,17,0.0105,1,3.2,0.55,1.7,250000,2.5,3,1.05,-17.93,7.86,-6.21,11.38,0.3,16.9,1
4,0.9127,0.9136,18,0.0009,1.1,2.6,0.55,1.7,250000,2.5,3.2,1.05,-8.62,0,-10.34,9.83,0.16,10.17,0
5,0.8971,0.8994,7,0.0023,1.1,3.2,0.55,1.6,250000,2.5,3.2,1.05,-8.1,11.17,-6.72,8.28,0.22,20,1
6,0.9022,0.9041,28,0.0019,1.2,2.6,0.55,1.6,250000,2.5,3.4,1.05,-11.21,1.66,-9.31,5.69,0.29,19.48,1
7,0.8865,0.89,28,0.0035,1.2,3.4,0.55,1.6,200000,2.5,3,1.05,-11.21,1.66,-9.31,5.69,0.29,19.48,1
8,0.899,0.9018,14,0.0028,1.3,3.2,0.55,1.6,250000,2.5,3.2,1.05,-11.72,11.59,-4.66,3.62,0.11,11.21,2
9,0.9034,0.9042,8,0.0008,1.3,2.8,0.55,1.6,250000,2.5,3.2,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
10,0.9071,0.9079,3,0.0008,1.4,2.5,0.55,1.6,250000,2.5,3.5,1.05,-12.76,0.83,-2.07,4.14,0.28,9.14,2
11,0.9,0.9018,20,0.0018,1.4,3,0.55,1.6,250000,2.5,3.2,1.05,-6.55,10.34,-11.38,4.66,0.19,5,0
12,0.8838,0.8854,20,0.0016,1.4,3.4,0.55,1.5,200000,2.5,2.8,1.05,-6.55,10.34,-11.38,4.66,0.19,5,0
13,0.8946,0.8985,8,0.0039,0.9,3,0.4,1.5,200000,2.3,3,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
14,0.9004,0.9069,4,0.0065,1,2.7,0.4,1.5,250000,2.4,3.4,1.05,-10.69,2.07,-12.93,1.55,0.25,6.55,2
15,0.8966,0.9003,8,0.0037,1,3.2,0.4,1.6,250000,2.5,3,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
16,0.9101,0.913,4,0.0029,1.1,2.6,0.4,1.5,250000,2.5,3.2,1.05,-10.69,2.07,-12.93,1.55,0.25,6.55,2
17,0.894,0.8968,3,0.0028,1.1,3.2,0.4,1.4,250000,2.5,3.2,1.05,-12.76,0.83,-2.07,4.14,0.28,9.14,2
18,0.914,0.9146,20,0.0006,1.2,2.6,0.4,1.4,250000,2.5,3.4,1.05,-6.55,10.34,-11.38,4.66,0.19,5,0
19,0.8886,0.8907,8,0.0021,1.2,3.4,0.4,1.4,200000,2.5,3,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
20,0.8903,0.8944,4,0.0041,1.3,3.2,0.4,1.4,250000,2.5,2.8,1.05,-10.69,2.07,-12.93,1.55,0.25,6.55,2
21,0.8918,0.9053,22,0.0135,1.3,2.8,0.4,1.4,250000,2.5,3.2,1.05,-12.24,4.55,-10.86,15,0.18,18.97,1
22,0.8885,0.8952,4,0.0067,1.4,2.5,0.4,1.4,250000,2.5,3.5,1.05,-10.69,2.07,-12.93,1.55,0.25,6.55,2
23,0.8838,0.8922,19,0.0084,1.4,3,0.4,1.4,250000,2.5,3.2,1.05,-18.45,2.9,-15,9.31,0.24,12.24,2
24,0.8872,0.8881,4,0.0009,1.4,3.4,0.4,1.3,200000,2.5,2.8,1.05,-10.69,2.07,-12.93,1.55,0.25,6.55,2
25,0.9011,0.9024,8,0.0013,0.9,3,0.5,1.3,180000,3,4,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
26,0.9147,0.917,8,0.0023,1,2.7,0.5,1.4,180000,4,5,1.05,-6.03,6.21,-13.45,10.34,0.27,12.76,0
27,0.9188,0.9203,23,0.0015,0.8,2.6,0.5,1.4,180000,4,4.7,0.95,-7.07,3.31,-1.55,12.41,0.24,15.34,1
28,0.9127,0.9146,23,0.0019,1.1,2.6,0.5,1.4,180000,4,5,0.95,-7.07,3.31,-1.55,12.41,0.24,15.34,1
29,0.9141,0.9157,1,0.0016,1.2,2.6,0.5,1.4,180000,4,5,0.95,-10.17,3.72,-3.1,7.76,0.1,17.93,1
30,0.9142,0.9167,28,0.0025,0.7,2.4,0.5,1.35,150000,3.5,4.5,0.95,-11.21,1.66,-9.31,5.69,0.29,19.48,1
31,0.9177,0.9191,21,0.0014,0.9,2.4,0.5,1.35,150000,4,5,0.95,-5,4.97,-5.69,1.03,0.2,13.28,2
32,0.9212,0.9235,8,0.0023,0.8,2.3,0.5,1.35,150000,5,6,0.95,-6.03,6.21,-13.45,10.34,0.27,12.76,0
33,0.9161,0.9189,7,0.0028,1,2.3,0.5,1.35,150000,4.5,5.5,1.05,-8.1,11.17,-6.72,8.28,0.22,20,1
34,0.9145,0.9162,1,0.0017,1.3,2,0.5,1.35,150000,5,6,0.95,-10.17,3.72,-3.1,7.76,0.1,17.93,1
35,0.9101,0.9115,21,0.0014,1.4,2,0.5,1.35,150000,5,6,0.95,-5,4.97,-5.69,1.03,0.2,13.28,2
36,0.9265,0.928,28,0.0015,0.8,1.9,0.5,1.3,120000,5,6,0.95,-11.21,1.66,-9.31,5.69,0.29,19.48,1
37,0.9247,0.9262,21,0.0015,0.9,1.9,0.5,1.3,120000,5,6,0.95,-5,4.97,-5.69,1.03,0.2,13.28,2
38,0.9218,0.9233,7,0.0015,1,1.9,0.5,1.3,120000,5,6,0.95,-8.1,11.17,-6.72,8.28,0.22,20,1
39,0.9151,0.9166,1,0.0015,1.2,1.8,0.5,1.25,100000,5,6,0.95,-10.17,3.72,-3.1,7.76,0.1,17.93,1
40,0.9032,0.9044,1,0.0012,1.4,1.6,0.5,1.25,100000,5,6,0.95,-10.17,3.72,-3.1,7.76,0.1,17.93,1
41,0.8997,0.9043,28,0.0046,0.9,3,0.35,1.3,180000,3,4,1,-11.21,1.66,-9.31,5.69,0.29,19.48,1
43,0.9188,0.9209,8,0.0021,0.8,2.6,0.35,1.4,180000,4,4.7,1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
44,0.9167,0.9188,8,0.0021,1.1,2.6,0.35,1.4,180000,4,5,1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
45,0.9144,0.9164,23,0.002,1.2,2.6,0.35,1.4,180000,4,5,1,-7.07,3.31,-1.55,12.41,0.24,15.34,1
46,0.9129,0.9157,8,0.0028,0.7,2.4,0.35,1.35,150000,3.5,4.5,1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
47,0.918,0.9203,8,0.0023,0.9,2.4,0.35,1.35,150000,4,5,1,-6.03,6.21,-13.45,10.34,0.27,12.76,0
48,0.9212,0.9229,23,0.0017,0.8,2.3,0.35,1.35,150000,5,6,1,-7.07,3.31,-1.55,12.41,0.24,15.34,1
49,0.9178,0.9194,8,0.0016,1,2.3,0.35,1.35,150000,4,4.5,0.97,-6.03,6.21,-13.45,10.34,0.27,12.76,0
50,0.9156,0.9172,21,0.0016,1.3,2,0.35,1.35,150000,5,6,1,-5,4.97,-5.69,1.03,0.2,13.28,2
